artwork	subject
http://yago-knowledge.org/resource/Francesco_St_Jerome	oil painting on copper by Jacopo Palma the Younger
http://yago-knowledge.org/resource/Les_Demoiselles_d'Avignon	painting by Pablo Picasso
http://yago-knowledge.org/resource/Portrait_of_Marie-Françoise_Rivière	portrait painting by Jean Auguste Dominique Ingres
http://yago-knowledge.org/resource/Portrait_of_Monsieur_Bertin	painting by Jean-Auguste-Dominique Ingres
http://yago-knowledge.org/resource/Portrait_of_Philibert_Rivière	painting by Jean Auguste Dominique Ingres
http://yago-knowledge.org/resource/Projet_d'aménagement_de_la_Grande_Galerie_du_Louvre,_vers_1796_Q15934792	painting by Hubert Robert
http://yago-knowledge.org/resource/Reign_of_Comus_(Lorenzo_Costa)	painting by Lorenzo Costa
http://yago-knowledge.org/resource/Revelry_at_an_Inn_Q11092220	painting by Jan Steen
http://yago-knowledge.org/resource/Roses_in_a_vase_Q16547914	painting by Auguste Renoir
http://yago-knowledge.org/resource/Saying_Grace_(Chardin)	painting by Jean Siméon Chardin, housed at the Hermitage
http://yago-knowledge.org/resource/Self-portrait_with_Green_Vest_Q11907350	painting by Eugène Delacroix
http://yago-knowledge.org/resource/Souvenir_de_Mortefontaine	painting by Jean-Baptiste-Camille Corot
http://yago-knowledge.org/resource/Still_Life_of_a_Lamb's_Head_and_Flanks	painting by Francisco de Goya
http://yago-knowledge.org/resource/Crucifixion_(Mantegna)	central part of the predella of San Zeno altar piece by Andrea Mantegna
http://yago-knowledge.org/resource/Enthroned_Madonna_and_Child_with_two_virgin_martyrs_Q3842546	painting by Cima da Conegliano
http://yago-knowledge.org/resource/Eva_Prima_Pandora_Q3061277	painting by Jean Cousin
http://yago-knowledge.org/resource/Ferdinand-Philippe_d'Orleans_by_Ingres_-_RF_2005-13_Q15727627	painting by Jean-Auguste-Dominique Ingres
http://yago-knowledge.org/resource/Ixion,_King_of_the_Lapiths,_Deceived_by_Juno,_Who_He_Wished_to_Seduce	painting by Peter Paul Rubens
http://yago-knowledge.org/resource/Judith_(Giorgione)	painting by Giorgione in the Eremitage
http://yago-knowledge.org/resource/Las_tres_velas_Q19266867	The three sails (Joaquín Sorolla)
http://yago-knowledge.org/resource/Liberty_Leading_the_People	painting by Eugène Delacroix
http://yago-knowledge.org/resource/Lucretia_(Rembrandt,_1664)	painting by Rembrandt, 1664
http://yago-knowledge.org/resource/Look_Mickey	painting by Roy Lichtenstein
http://yago-knowledge.org/resource/Mademoiselle_V..._in_the_Costume_of_an_Espada	painting by Édouard Manet
http://yago-knowledge.org/resource/Madonna_of_the_Pinks	painting by Raphael
http://yago-knowledge.org/resource/Portrait_of_Karel_van_Mallery_Q50375122	painting by Anton van Dyck
http://yago-knowledge.org/resource/The_City_(Léger)	painting by Fernand Léger
http://yago-knowledge.org/resource/The_Fall_of_Phaeton_(Rubens)	painting by Peter Paul Rubens
http://yago-knowledge.org/resource/The_Midnight_Ride_of_Paul_Revere_(painting)	painting by Grant Wood
http://yago-knowledge.org/resource/The_Prison_of_Copenhagen_Q14951231	painting by Martinus Rørbye
http://yago-knowledge.org/resource/Portrait_of_a_Lady_in_Yellow	painting by Alesso Baldovinetti in the National Gallery, London
http://yago-knowledge.org/resource/Portrait_of_a_Young_Woman_with_a_(Red)_Beret_Q3937756	painting by Albrecht Dürer
http://yago-knowledge.org/resource/Portrait_of_Giuliano_de'_Medici_Q3399442	painting by Sandro Botticelli in the National Gallery of Art, Washington
