"art","description"
"https://w3id.org/zericatalog/artwork/16453","Opera d'arte ""Bonaccorsi Pietro , Isaia, Daniele e putti reggistemma, Adamo ed Eva nel paradiso terrestre, Peccato originale, Creazione di Adamo, Cacciata di Adamo ed Eva dal paradiso terrestre, Lavoro di Adamo ed Eva, Nascita di Maria Vergine, Presentazione di Maria Vergine al Tempio, Incontro di sant'Anna e san Gioacchino alla Porta Aurea, Annunciazione, Visitazione, Fede e Carità"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/31470","Artwork ""Zuccari Taddeo, Zuccari Federico , Visione di Augusto"" , (component)"
"https://w3id.org/zericatalog/artwork/31470","Opera d'arte ""Zuccari Taddeo, Zuccari Federico , Visione di Augusto"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/32471","Artwork ""Zuccari Taddeo, Zuccari Federico , Assunzione della Madonna"" , (component)"
"https://w3id.org/zericatalog/artwork/32471","Opera d'arte ""Zuccari Taddeo, Zuccari Federico , Assunzione della Madonna"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/32475","Artwork ""Zuccari Taddeo, Zuccari Federico , Transito della Madonna"" , (component)"
"https://w3id.org/zericatalog/artwork/32475","Opera d'arte ""Zuccari Taddeo, Zuccari Federico , Transito della Madonna"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/32478","Artwork ""Zuccari Federico , Cristo in pietà sorretto da Dio Padre e angeli con simboli della Passione"" , (component)"
"https://w3id.org/zericatalog/artwork/32478","Opera d'arte ""Zuccari Federico , Cristo in pietà sorretto da Dio Padre e angeli con simboli della Passione"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16462","Artwork ""Bonaccorsi Pietro , Tito Manlio, Allegoria della Fama, Allegoria della Vittoria, Allegoria della Pace, Allegoria della Concordia, Grottesche"" "
