"art","description"
"https://d-nb.info/gnd/4375735-2","Comic-Serie (1979-1984)"
"https://d-nb.info/gnd/4203158-8","Flötenschule, 1752"
"https://d-nb.info/gnd/4305736-6","Zusammenfassend für alle Abgüsse, einzelnes unter dem jeweil. Ort"
"https://d-nb.info/gnd/1209717573","Zeichnung, Kupferstichkabinett HAUM"
