"art","a_label","subj1","subj3","subj4","subj5"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000206","Cristo crocifisso (scultura, opera isolata) - ambito toscano (sec. XV)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000207","Santi (gruppo scultoreo, complesso decorativo) by Amadeo Giovanni Antonio (scuola) (secc. XV/ XVI)","https://w3id.org/arco/resource/Subject/ae1d4b431ead52e5ee1788010e8ec110","11 (...) 0","Santi","Santi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000207","Santi (gruppo scultoreo, complesso decorativo) by Amadeo Giovanni Antonio (scuola) (secc. XV/ XVI)","https://w3id.org/arco/resource/Subject/ae1d4b431ead52e5ee1788010e8ec110","11 (...) 0","Santi","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-0","profeti e santi (statua, insieme) di Mantegazza (scuola), Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/2f330a9690bec549bd87fb1671b0c4c7","11 H 0 :11 I 1","profeti e santi","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-0","profeti e santi (statua, insieme) di Mantegazza (scuola), Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/2f330a9690bec549bd87fb1671b0c4c7","11 H 0 :11 I 1","profeti e santi","profeti e santi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-1","profeta (statua, elemento d'insieme) by Mantegazza (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/5a47ee599dcb251080584abaf3a28a5b","11 I 62 (...) 3","profeta","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-1","profeta (statua, elemento d'insieme) by Mantegazza (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/5a47ee599dcb251080584abaf3a28a5b","11 I 62 (...) 3","profeta","profeta"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-2","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","Santo apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-2","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-3","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","Santo apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-3","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-4","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","Santo apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-4","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-5","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","Santo apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-5","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-6","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","Santo apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-6","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
