"art","subj1","subj1Label","constr","qualifier","qualifierLabel","subj2","subj2Label","subj3","subj3Label"
"http://www.wikidata.org/entity/Q3210250","http://www.wikidata.org/entity/Q1144593","sitting","none","none","none","http://www.wikidata.org/entity/Q5989722","Penitent Magdalene","11HH(MARY MAGDALENE)36","11HH(MARY MAGDALENE)36"
"http://www.wikidata.org/entity/Q571122","http://www.wikidata.org/entity/Q19809","Christmas","none","none","none","http://www.wikidata.org/entity/Q51628","Nativity of Jesus","73B13(+3)","73B13(+3)"
"http://www.wikidata.org/entity/Q133508","http://www.wikidata.org/entity/Q10791","nudity","none","none","none","http://www.wikidata.org/entity/Q494762","Leda and the Swan","92B1222","92B1222"
"http://www.wikidata.org/entity/Q3978277","http://www.wikidata.org/entity/Q23841","washing","none","none","none","http://www.wikidata.org/entity/Q16930210","Susanna and the Elders","71P4121","71P4121"
"http://www.wikidata.org/entity/Q3210250","http://www.wikidata.org/entity/Q660281","contre-jour","none","none","none","http://www.wikidata.org/entity/Q5989722","Penitent Magdalene","11HH(MARY MAGDALENE)36","11HH(MARY MAGDALENE)36"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q219160","couple","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","33C225","33C225"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q15179","moustache","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","45B32(+221)","45B32(+221)"
"http://www.wikidata.org/entity/Q3717885","http://www.wikidata.org/entity/Q8441","man","none","none","none","http://www.wikidata.org/entity/Q534805","Ecce Homo","73D36","73D36"
"http://www.wikidata.org/entity/Q729197","http://www.wikidata.org/entity/Q345","Virgin Mary","none","none","none","http://www.wikidata.org/entity/Q154326","Annunciation","73A522","73A522"
"http://www.wikidata.org/entity/Q574004","http://www.wikidata.org/entity/Q8441","man","none","none","none","http://www.wikidata.org/entity/Q51636","Crucifixion of Jesus","73D61","73D61"
"http://www.wikidata.org/entity/Q24260570","http://www.wikidata.org/entity/Q302","Jesus","none","none","none","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q3110269","http://www.wikidata.org/entity/Q302","Jesus","none","none","none","http://www.wikidata.org/entity/Q51636","Crucifixion of Jesus","73D61","73D61"
"http://www.wikidata.org/entity/Q3454669","http://www.wikidata.org/entity/Q374192","aureola","none","none","none","http://www.wikidata.org/entity/Q752121","Christ Pantocrator","11D3221","11D3221"
"http://www.wikidata.org/entity/Q1110146","http://www.wikidata.org/entity/Q8021345","owl","none","none","none","http://www.wikidata.org/entity/Q1029715","Adoration of the shepherds","73B25(+3)","73B25(+3)"
"http://www.wikidata.org/entity/Q19904858","http://www.wikidata.org/entity/Q886167","flowering plant","none","none","none","http://www.wikidata.org/entity/Q618057","Holy Family","73B81","73B81"
"http://www.wikidata.org/entity/Q21711347","http://www.wikidata.org/entity/Q40662","John the Baptist","none","none","none","http://www.wikidata.org/entity/Q40662","John the Baptist","11H(JOHN THE BAPTIST)","11H(JOHN THE BAPTIST)"
"http://www.wikidata.org/entity/Q18573905","http://www.wikidata.org/entity/Q80228","bottle","none","none","none","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q574004","http://www.wikidata.org/entity/Q345","Virgin Mary","none","none","none","http://www.wikidata.org/entity/Q51636","Crucifixion of Jesus","73D61","73D61"
"http://www.wikidata.org/entity/Q17582565","http://www.wikidata.org/entity/Q618057","Holy Family","none","none","none","http://www.wikidata.org/entity/Q618057","Holy Family","73B81","73B81"
"http://www.wikidata.org/entity/Q26133903","http://www.wikidata.org/entity/Q51633","Last Supper","none","none","none","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q128910","http://www.wikidata.org/entity/Q12871","Simon the Zealot","http://www.wikidata.org/prop/qualifier/P2677","pct:84.7427,42.6207,15.2573,28.559","pct:84.7427,42.6207,15.2573,28.559","http://www.wikidata.org/entity/Q51633","Last Supper","73D2","73D2"
"http://www.wikidata.org/entity/Q3201472","http://www.wikidata.org/entity/Q942467","Christ Child","none","none","none","http://www.wikidata.org/entity/Q1029715","Adoration of the shepherds","73B25(+3)","73B25(+3)"
"http://www.wikidata.org/entity/Q3210250","http://www.wikidata.org/entity/Q1146001","light source","none","none","none","http://www.wikidata.org/entity/Q5989722","Penitent Magdalene","11HH(MARY MAGDALENE)36","11HH(MARY MAGDALENE)36"
"http://www.wikidata.org/entity/Q15934397","http://www.wikidata.org/entity/Q202466","blond hair","none","none","none","http://www.wikidata.org/entity/Q217048","Baptism of Jesus","73C121","73C121"
