art,subject1,subj_qualified,subject2,subject3
http://www.wikidata.org/entity/Q3907503,http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q40662 @ http://www.wikidata.org/entity/Q3010 @ http://www.wikidata.org/entity/Q676555 @ http://www.wikidata.org/entity/Q942467,,http://www.wikidata.org/entity/Q154326,11H(JOHN THE BAPTIST) @ 73D351 @ 11H(FRANCIS) @ 73E12 @ 73D312 @ 73A52 @ 73D731 @ 73D64 @ 11F421 @ 11H(LAURENCE) @ 11H(SYLVESTER)
http://www.wikidata.org/entity/Q3620828,http://www.wikidata.org/entity/Q942467 @ http://www.wikidata.org/entity/Q40662 @ http://www.wikidata.org/entity/Q507850 @ http://www.wikidata.org/entity/Q44015,,http://www.wikidata.org/entity/Q9309699,11H(JOHN THE BAPTIST) @ 11H(JOHN) @ 11F5
http://www.wikidata.org/entity/Q1330237,http://www.wikidata.org/entity/Q9103 @ http://www.wikidata.org/entity/Q10884 @ http://www.wikidata.org/entity/Q154425 @ http://www.wikidata.org/entity/Q483453 @ http://www.wikidata.org/entity/Q756861 @ http://www.wikidata.org/entity/Q83772 @ http://www.wikidata.org/entity/Q810524 @ http://www.wikidata.org/entity/Q15974921 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q808132 @ http://www.wikidata.org/entity/Q23841 @ http://www.wikidata.org/entity/Q3039121 @ http://www.wikidata.org/entity/Q2191986 @ http://www.wikidata.org/entity/Q1144593 @ http://www.wikidata.org/entity/Q3563476,,http://www.wikidata.org/entity/Q16930210,71P4121
http://www.wikidata.org/entity/Q83872,http://www.wikidata.org/entity/Q3235198 @ http://www.wikidata.org/entity/Q205380 @ http://www.wikidata.org/entity/Q1578 @ http://www.wikidata.org/entity/Q1226318 @ http://www.wikidata.org/entity/Q1501968 @ http://www.wikidata.org/entity/Q30022 @ http://www.wikidata.org/entity/Q15733260 @ http://www.wikidata.org/entity/Q177749 @ http://www.wikidata.org/entity/Q17125428 @ http://www.wikidata.org/entity/Q10686380 @ http://www.wikidata.org/entity/Q211841 @ http://www.wikidata.org/entity/Q47486870 @ http://www.wikidata.org/entity/Q33163 @ http://www.wikidata.org/entity/Q2733787 @ http://www.wikidata.org/entity/Q35473,,http://www.wikidata.org/entity/Q1226318,43B311
http://www.wikidata.org/entity/Q28002438,http://www.wikidata.org/entity/Q302,,http://www.wikidata.org/entity/Q51636,24B2
http://www.wikidata.org/entity/Q17320369,http://www.wikidata.org/entity/Q43748 @ http://www.wikidata.org/entity/Q200539 @ http://www.wikidata.org/entity/Q3039121 @ http://www.wikidata.org/entity/Q175185 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q527 @ http://www.wikidata.org/entity/Q487 @ http://www.wikidata.org/entity/Q17244894 @ http://www.wikidata.org/entity/Q116887 @ http://www.wikidata.org/entity/Q839734 @ http://www.wikidata.org/entity/Q355304 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q1144593 @ http://www.wikidata.org/entity/Q193472 @ http://www.wikidata.org/entity/Q19983456 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q148993 @ http://www.wikidata.org/entity/Q8502 @ http://www.wikidata.org/entity/Q202466,,http://www.wikidata.org/entity/Q63070,25H11 @ 11HH(MARY MAGDALENE)9
http://www.wikidata.org/entity/Q28002121,http://www.wikidata.org/entity/Q302,,http://www.wikidata.org/entity/Q51636,24B2
http://www.wikidata.org/entity/Q4015932,http://www.wikidata.org/entity/Q43600,,http://www.wikidata.org/entity/Q5022191,73C7115
http://www.wikidata.org/entity/Q17334319,http://www.wikidata.org/entity/Q942467,,http://www.wikidata.org/entity/Q51628,73B13(+3)
http://www.wikidata.org/entity/Q18602339,http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q235113,,http://www.wikidata.org/entity/Q154326,73A522
