artwork	prop1	prop2
http://dbpedia.org/resource/Statue_of_Junípero_Serra_(Los_Angeles)	http://dbpedia.org/resource/Category:1932_establishments_in_California @ http://dbpedia.org/resource/Category:1932_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_California @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_California @ http://dbpedia.org/resource/Category:Monuments_and_memorials_removed_during_the_George_Floyd_protests @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Greater_Los_Angeles @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_California @ http://dbpedia.org/resource/Category:Statues_in_California @ http://dbpedia.org/resource/Category:Statues_of_Junípero_Serra @ http://dbpedia.org/resource/Category:Vandalized_works_of_art_in_California	http://dbpedia.org/resource/Junípero_Serra
http://dbpedia.org/resource/Statue_of_Christopher_Columbus_(Atlantic_City,_New_Jersey)	http://dbpedia.org/resource/Category:Buildings_and_structures_in_Atlantic_City,_New_Jersey @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_New_Jersey @ http://dbpedia.org/resource/Category:Monuments_and_memorials_to_Christopher_Columbus @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_New_Jersey @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_New_Jersey @ http://dbpedia.org/resource/Category:Statues_in_New_Jersey @ http://dbpedia.org/resource/Category:Statues_of_Christopher_Columbus	http://dbpedia.org/resource/Christopher_Columbus
http://dbpedia.org/resource/Manneken_Pis	http://dbpedia.org/resource/Category:1619_sculptures @ http://dbpedia.org/resource/Category:Belgian_culture @ http://dbpedia.org/resource/Category:Belgian_folklore @ http://dbpedia.org/resource/Category:Belgian_legends @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Belgium @ http://dbpedia.org/resource/Category:Brussels_in_fiction @ http://dbpedia.org/resource/Category:Buildings_and_structures_in_Brussels @ http://dbpedia.org/resource/Category:City_of_Brussels @ http://dbpedia.org/resource/Category:Fictional_Belgian_people @ http://dbpedia.org/resource/Category:Fictional_children @ http://dbpedia.org/resource/Category:Fountains_in_Belgium @ http://dbpedia.org/resource/Category:Medieval_legends @ http://dbpedia.org/resource/Category:Sculptures_of_children @ http://dbpedia.org/resource/Category:Statues_of_fictional_characters @ http://dbpedia.org/resource/Category:Stolen_works_of_art @ http://dbpedia.org/resource/Category:Tourist_attractions_in_Brussels	http://dbpedia.org/resource/Puer_mingens
http://dbpedia.org/resource/J._F._Kennedy_Memorial,_Birmingham	http://dbpedia.org/resource/Category:1960s_murals @ http://dbpedia.org/resource/Category:1968_in_England @ http://dbpedia.org/resource/Category:Buildings_and_monuments_honouring_American_presidents_in_the_United_Kingdom @ http://dbpedia.org/resource/Category:Buildings_and_structures_completed_in_1968 @ http://dbpedia.org/resource/Category:Culture_in_Birmingham,_West_Midlands @ http://dbpedia.org/resource/Category:History_of_Birmingham,_West_Midlands @ http://dbpedia.org/resource/Category:Memorials_to_John_F._Kennedy @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_England @ http://dbpedia.org/resource/Category:Mosaics @ http://dbpedia.org/resource/Category:Murals_in_the_United_Kingdom @ http://dbpedia.org/resource/Category:Public_art_in_England	http://dbpedia.org/resource/John_F._Kennedy
http://dbpedia.org/resource/Statue_of_John_McGraw	http://dbpedia.org/resource/Category:1912_establishments_in_Washington_(state) @ http://dbpedia.org/resource/Category:1912_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Washington_(state) @ http://dbpedia.org/resource/Category:Granite_sculptures_in_Washington_(state) @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Seattle @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Seattle @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Washington_(state) @ http://dbpedia.org/resource/Category:Statues_in_Seattle	http://dbpedia.org/resource/John_McGraw_(governor)
http://dbpedia.org/resource/Statue_of_Will_Rogers	http://dbpedia.org/resource/Category:1938_sculptures @ http://dbpedia.org/resource/Category:1939_sculptures @ http://dbpedia.org/resource/Category:Cultural_depictions_of_Will_Rogers @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Oklahoma @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:National_Statuary_Hall_Collection @ http://dbpedia.org/resource/Category:Portraits_of_actors @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Oklahoma @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Statues_in_Oklahoma @ http://dbpedia.org/resource/Category:Statues_of_musicians	http://dbpedia.org/resource/Will_Rogers
http://dbpedia.org/resource/Big_Trout	http://dbpedia.org/resource/Category:1973_sculptures @ http://dbpedia.org/resource/Category:Adaminaby @ http://dbpedia.org/resource/Category:Big_things_in_New_South_Wales @ http://dbpedia.org/resource/Category:Fiberglass_sculptures_in_Australia @ http://dbpedia.org/resource/Category:Fishing_in_Australia @ http://dbpedia.org/resource/Category:Snowy_Mountains_Highway	http://dbpedia.org/resource/Trout
http://dbpedia.org/resource/Ambrosius_Volmar_Keller_(Baldung)	http://dbpedia.org/resource/Category:1538_paintings @ http://dbpedia.org/resource/Category:Books_in_art @ http://dbpedia.org/resource/Category:Oil_paintings @ http://dbpedia.org/resource/Category:Paintings_by_Hans_Baldung @ http://dbpedia.org/resource/Category:Paintings_in_the_Musée_de_l'Œuvre_Notre-Dame @ http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Musée_des_Beaux-Arts_de_Strasbourg @ http://dbpedia.org/resource/Category:Renaissance_portraits	Canon Ambrosius Volmar Keller
http://dbpedia.org/resource/How_Doth_the_Little_Crocodile_(Carrington)	http://dbpedia.org/resource/Category:1998_paintings @ http://dbpedia.org/resource/Category:2000_establishments_in_Mexico @ http://dbpedia.org/resource/Category:2000_sculptures @ http://dbpedia.org/resource/Category:Animal_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Mexico @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Mexico_City @ http://dbpedia.org/resource/Category:Paintings_in_Mexico @ http://dbpedia.org/resource/Category:Paseo_de_la_Reforma @ http://dbpedia.org/resource/Category:Reptiles_in_art @ http://dbpedia.org/resource/Category:Statues_in_Mexico_City @ http://dbpedia.org/resource/Category:Surrealist_works @ http://dbpedia.org/resource/Category:Works_based_on_Alice_in_Wonderland	"""How Doth the Little Crocodile"""
http://dbpedia.org/resource/Iron_Horse_(sculpture)	http://dbpedia.org/resource/Category:1954_establishments_in_Georgia_(U.S._state) @ http://dbpedia.org/resource/Category:1954_sculptures @ http://dbpedia.org/resource/Category:Animal_sculptures_in_Georgia_(U.S._state) @ http://dbpedia.org/resource/Category:Horses_in_art @ http://dbpedia.org/resource/Category:Iron_sculptures_in_the_United_States @ http://dbpedia.org/resource/Category:Relocated_buildings_and_structures_in_Georgia_(U.S._state) @ http://dbpedia.org/resource/Category:Sculptures_in_Georgia_(U.S._state) @ http://dbpedia.org/resource/Category:Tourist_attractions_in_Athens,_Georgia @ http://dbpedia.org/resource/Category:Tourist_attractions_in_Oconee_County,_Georgia @ http://dbpedia.org/resource/Category:University_of_Georgia @ http://dbpedia.org/resource/Category:Vandalized_works_of_art_in_Georgia_(U.S._state)	Horse
http://dbpedia.org/resource/Statue_of_Sebastian_de_Aparicio	http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Puebla_(city) @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Mexico @ http://dbpedia.org/resource/Category:Statues_in_Puebla	http://dbpedia.org/resource/Sebastian_de_Aparicio
http://dbpedia.org/resource/L'Orage	http://dbpedia.org/resource/Category:1830_paintings @ http://dbpedia.org/resource/Category:French_paintings @ http://dbpedia.org/resource/Category:Landscape_paintings @ http://dbpedia.org/resource/Category:Oil_on_canvas_paintings @ http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Musée_des_Beaux-Arts_de_Strasbourg	http://dbpedia.org/resource/Landscape_painting @ http://dbpedia.org/resource/Thunderstorm
http://dbpedia.org/resource/El_Sereno_(sculpture)	http://dbpedia.org/resource/Category:1992_sculptures @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Mexico_City @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Mexico_City @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Mexico @ http://dbpedia.org/resource/Category:Statues_in_Mexico_City @ http://dbpedia.org/resource/Category:Vandalized_works_of_art_in_Mexico	http://dbpedia.org/resource/Watchman_(law_enforcement)
