"art","subj_descr"
"http://numismatics.org/sco/id/sc.1.839c#obverse","Heracles"
"http://numismatics.org/sco/id/sc.1.2157#obverse","Demetrius II Nicator"
"http://numismatics.org/ocre/id/ric.10.arc_e.36#obverse","Theodosius II"
"http://numismatics.org/ocre/id/ric.1(2).aug.269A#obverse","Octavian"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1264#obverse","Hadrian"
"http://numismatics.org/ocre/id/ric.4.vo.256C#reverse","Pax"
"http://numismatics.org/ocre/id/ric.4.sa.405#obverse","Severus Alexander"
"http://numismatics.org/sco/id/sc.1.2000.3a#obverse","Antiochus VI Dionysus"
"http://numismatics.org/sco/id/sc.1.1075.2#reverse","Apollo"
"http://numismatics.org/ocre/id/ric.2_1(2).tit.388#reverse","Aphrodite/Venus"
"http://numismatics.org/ocre/id/ric.4.tr_g.90.10#obverse","Trebonianus Gallus"
"http://numismatics.org/ocre/id/ric.4.ge.161A#obverse","Geta"
"http://numismatics.org/ocre/id/ric.2_1(2).ves.1088#reverse","Vesta"
"http://numismatics.org/ocre/id/ric.5.gall(2).197kC.5#reverse","Genius"
"http://numismatics.org/ocre/id/ric.4.gor_iii.269#reverse","Liberalitas"
"http://numismatics.org/ocre/id/ric.5.gall(2).75#reverse","Nike/Victoria/Victory"
"http://numismatics.org/pco/id/cpe.1_2.B212#obverse","Alexander III of Macedon"
"http://numismatics.org/ocre/id/ric.3.m_aur.888#reverse","Ares/Mars"
"http://numismatics.org/ocre/id/ric.5.dio.145#reverse","Zeus/Jupiter"
