"art","subj_descr"
"https://w3id.org/zericatalog/artwork/40404","Madonna con Bambino @ san Giovannino @ San Giovannino @ santo evangelista e santa Caterina d'Alessandria"
"https://w3id.org/zericatalog/artwork/45313","Salita di Cristo al monte Calvario"
"https://w3id.org/zericatalog/artwork/48173","Pietà"
"https://w3id.org/zericatalog/artwork/35977","Ritratto di fanciulla"
"https://w3id.org/zericatalog/artwork/35717","Episodio della vita di san Nazaro e san Celso (?)"
"https://w3id.org/zericatalog/artwork/34637","San Francesco d'Assisi in preghiera"
"https://w3id.org/zericatalog/artwork/47336","Flagellazione di Cristo"
"https://w3id.org/zericatalog/artwork/37942","Figura allegorica e grottesche"
"https://w3id.org/zericatalog/artwork/49370","Ritratto di Laura da Pola"
"https://w3id.org/zericatalog/artwork/45675","Santa Maria Maddalena @ santa Maria Maddalena"
"https://w3id.org/zericatalog/artwork/49256","Madonna con Bambino e san Giovannino"
"https://w3id.org/zericatalog/artwork/17332","Allegoria dell'Acqua"
"https://w3id.org/zericatalog/artwork/36900","San Giovanni Battista predica nel deserto"
"https://w3id.org/zericatalog/artwork/44599","Giudizio Universale"
"https://w3id.org/zericatalog/artwork/39406","Marte"
"https://w3id.org/zericatalog/artwork/addbbd","Autoritratto di Domenico Beccafumi"
"https://w3id.org/zericatalog/artwork/37014","Paesaggio con rovine"
"https://w3id.org/zericatalog/artwork/33398","Orazione di Cristo nell'orto di Gethsemani"
"https://w3id.org/zericatalog/artwork/adrmgbdjf","Adorazione dei Re Magi"
"https://w3id.org/zericatalog/artwork/34182","Putti danzanti"
"https://w3id.org/zericatalog/artwork/ddscdzf","Decapitazione di santa Caterina d'Alessandria"
"https://w3id.org/zericatalog/artwork/mcbigsgbsgeubcp","Madonna con Bambino in gloria, san Giovanni Battista, san Girolamo e un bambino"
"https://w3id.org/zericatalog/artwork/39077","Madonna con Bambino e san Giovannino"
"https://w3id.org/zericatalog/artwork/34652","Concerto"
"https://w3id.org/zericatalog/artwork/41293","Ritratto maschile"
"https://w3id.org/zericatalog/artwork/32945","San Sebastiano @ san Sebastiano"
"https://w3id.org/zericatalog/artwork/gerapniiv","Giacobbe e Rachele al pozzo @ Giacobbe e Rachele al pozzo (?)"
