artwork	subjects
http://lod.sztaki.hu/data/item/6234	olasz @ eredeti @ fénykép @ reneszánsz @ freskó @ Correggio (1489-1534) @ fotóművészet @ műtárgyfotó 19. sz. vége @ festészet 16. sz. első harmada
http://lod.sztaki.hu/data/item/6969	grafika @ rézkarc @ eredeti @ magyar @ ábrázolása @ életkép @ állatábrázolás @ emberábrázolás @ 1921-1929 @ munka
http://lod.sztaki.hu/data/item/7561	grafika @ eredeti @ magyar @ arckép @ fametszet @ 1931-1949
http://lod.sztaki.hu/data/item/8769	grafika @ eredeti @ magyar @ arckép @ 20. század eleje @ szénrajz @ nőábrázolás
http://lod.sztaki.hu/data/item/8242	grafika @ eredeti @ magyar @ fametszet @ 1931-1949 @ anyaság @ gyermekábrázolás @ nőábrázolás
http://lod.sztaki.hu/data/item/8020	grafika @ rézkarc @ eredeti @ magyar @ ábrázolása @ 1921-1929 @ munka @ mezőgazdaság
http://lod.sztaki.hu/data/item/7673	grafika @ eredeti @ magyar @ foltmaratás @ 1931-1949 @ népviselet @ nőábrázolás
http://lod.sztaki.hu/data/item/6231	olasz @ eredeti @ fénykép @ reneszánsz @ freskó @ Correggio (1489-1534) @ fotóművészet @ műtárgyfotó 19. sz. vége @ festészet 16. sz. első harmada
http://lod.sztaki.hu/data/item/6423	eredeti @ fénykép @ mappa @ fotóművészet @ műtárgyfotó 19. század vége
http://lod.sztaki.hu/data/item/6976	grafika @ rézkarc @ eredeti @ magyar @ Beethoven, Ludwig van (1770-1827) @ emberábrázolás @ 1921-1929
http://lod.sztaki.hu/data/item/9241	grafika @ eredeti @ magyar @ arckép @ emberábrázolás @ rézmetszet
http://lod.sztaki.hu/data/item/6761	grafika @ eredeti @ magyar @ linóleummetszet @ 1921-1929
http://lod.sztaki.hu/data/item/8042	grafika @ rézkarc @ eredeti @ magyar @ ábrázolása @ 1921-1929 @ kikötő
http://lod.sztaki.hu/data/item/7288	grafika @ eredeti @ magyar @ akt @ 1931-1949 @ ceruzarajz @ nőábrázolás
http://lod.sztaki.hu/data/item/7305	grafika @ eredeti @ magyar @ életkép @ emberábrázolás @ 1931-1949 @ tusrajz @ tollrajz
http://lod.sztaki.hu/data/item/7276	grafika @ eredeti @ magyar @ akt @ 1931-1949 @ tusrajz @ tollrajz @ nőábrázolás
http://lod.sztaki.hu/data/item/6916	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929 @ nőábrázolás
http://lod.sztaki.hu/data/item/7179	grafika @ eredeti @ magyar @ kréta @ 1880-1890
http://lod.sztaki.hu/data/item/8945	grafika @ eredeti @ magyar @ ceruza
http://lod.sztaki.hu/data/item/8010	grafika @ rézkarc @ eredeti @ magyar @ ábrázolása @ 1921-1929 @ anyaság
http://lod.sztaki.hu/data/item/7129	grafika @ eredeti @ magyar @ 1906-1914 @ linóleummetszet @ életkép @ játék
http://lod.sztaki.hu/data/item/6959	grafika @ rézkarc @ eredeti @ magyar @ tájkép @ 1921-1929
http://lod.sztaki.hu/data/item/9189	grafika @ eredeti @ magyar @ arckép @ emberábrázolás @ szénrajz
http://lod.sztaki.hu/data/item/7486	grafika @ rézkarc @ eredeti @ magyar @ ábrázolása @ 1931-1949 @ munka @ mezőgazdaság
http://lod.sztaki.hu/data/item/8247	grafika @ eredeti @ magyar @ fametszet @ emberábrázolás @ 1931-1949 @ Böcklin, Arnold (1827-1901)
http://lod.sztaki.hu/data/item/7105	grafika @ eredeti @ magyar @ 1906-1914 @ linóleummetszet
http://lod.sztaki.hu/data/item/8370	grafika @ eredeti @ magyar @ 1930 @ akvarell
http://lod.sztaki.hu/data/item/6678	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929
http://lod.sztaki.hu/data/item/7940	grafika @ rézkarc @ eredeti @ német @ 1883
http://lod.sztaki.hu/data/item/9191	grafika @ eredeti @ magyar @ arckép @ szénrajz @ nőábrázolás
http://lod.sztaki.hu/data/item/6755	grafika @ eredeti @ magyar @ 1921-1929 @ cinkkarc @ nőábrázolás
http://lod.sztaki.hu/data/item/7900	grafika @ eredeti @ magyar @ 1906-1914 @ linóleummetszet @ mitológiai ábrázolás
http://lod.sztaki.hu/data/item/8715	grafika @ eredeti @ magyar @ akt @ 19. század vége @ ceruza
http://lod.sztaki.hu/data/item/6974	grafika @ rézkarc @ eredeti @ magyar @ ábrázolása @ 1921-1929 @ munka
http://lod.sztaki.hu/data/item/9072	grafika @ eredeti @ magyar @ tájkép @ ceruza @ 1850-es évek
http://lod.sztaki.hu/data/item/7680	grafika @ eredeti @ magyar @ fametszet @ 1931-1949 @ szentek @ Benedek, Szent
http://lod.sztaki.hu/data/item/6949	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929 @ allegorikus ábrázolás
http://lod.sztaki.hu/data/item/7145	grafika @ rézkarc @ eredeti @ magyar @ 1906-1914 @ ábrázolása @ munka
http://lod.sztaki.hu/data/item/7520	grafika @ rézkarc @ eredeti @ magyar @ akt @ 1931-1949 @ nőábrázolás
http://lod.sztaki.hu/data/item/7541	grafika @ rézkarc @ eredeti @ magyar @ arckép @ 1931-1949
http://lod.sztaki.hu/data/item/8147	grafika @ eredeti @ magyar @ fametszet @ iniciálé @ 1931-1949
http://lod.sztaki.hu/data/item/6690	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929
http://lod.sztaki.hu/data/item/6224	olasz @ eredeti @ fénykép @ reneszánsz @ Raffaello di Giovanni Santi (1483-1520) @ festészet 16. sz. eleje @ fotóművészet @ műtárgyfotó 19. sz. vége
http://lod.sztaki.hu/data/item/7894	grafika @ rézkarc @ eredeti @ magyar @ 1906-1914
http://lod.sztaki.hu/data/item/7109	grafika @ rézkarc @ eredeti @ magyar @ arckép @ 1906-1914
http://lod.sztaki.hu/data/item/8627	grafika @ eredeti @ magyar @ akt @ drapériatanulmány
http://lod.sztaki.hu/data/item/7558	grafika @ eredeti @ magyar @ akt @ fametszet @ 1931-1949 @ nőábrázolás
http://lod.sztaki.hu/data/item/7540	grafika @ eredeti @ magyar @ arckép @ 1931-1949 @ hidegtű
http://lod.sztaki.hu/data/item/8050	grafika @ eredeti @ magyar @ 1921-1929 @ magasmaratás
http://lod.sztaki.hu/data/item/6708	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929
