artwork	subject
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_912	schilderijen, olieverf op doek
http://data.europeana.eu/proxy/provider/2058628/KF_objecten_14092894621251865770608	missionarissen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16242	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_A_2033	http://iconclass.org/41D3
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20354780_fmd456657	männliche literarische Charaktere (mit NAMEN)
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20063261_fmd463756	die nächtliche Verkündigung der Geburt Christi an die Hirten; singende Engel schweben in der Luft
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_381	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_A_2027	http://iconclass.org/45B
http://data.europeana.eu/proxy/provider/90402/SK_A_4881	urn:rijksmuseum:people:RM0001.PEOPLE.119355
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20318319_fmd455656	Pflanzen und Kräuter
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20318319_fmd455668	Pflanzen und Kräuter
http://data.europeana.eu/proxy/provider/90402/SK_A_4250	Spanje
http://data.europeana.eu/proxy/provider/90402/SK_A_4765	urn:rijksmuseum:people:RM0001.PEOPLE.108860
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16306	schilderingen
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20337941_fmd451729	Immaculata, Purisima: Maria, in der Regel auf einer Mondsichel stehend, steigt vom Himmel herab und befreit die Menschheit von der Erbsünde, manchmal indem sie eine Schlange zertritt
http://data.europeana.eu/proxy/provider/2023009/23096B51_priref_17539	voetbal
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20339703_fmd465911	die Verkündigung: Maria, die meistens liest, wird vom Engel Gabriel besucht (manchmal belauscht eine Frau die Unterhaltung); Maria zur Rechten, der Engel zur Linken
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_3291	beeldhouwwerken
http://data.europeana.eu/proxy/provider/90402/SK_A_4282	1665 - 1665
