"art","s"
"http://www.wikidata.org/entity/Q8355032","11F726"
"http://www.wikidata.org/entity/Q17326699","12I8"
"http://www.wikidata.org/entity/Q3697588","73D3511"
"http://www.wikidata.org/entity/Q18683064","11G25"
"http://www.wikidata.org/entity/Q764831","41A22"
"http://www.wikidata.org/entity/Q28000420","46C13187"
"http://www.wikidata.org/entity/Q19906105","71Q73"
"http://www.wikidata.org/entity/Q17450183","11D3271"
"http://www.wikidata.org/entity/Q20266888","73D411"
"http://www.wikidata.org/entity/Q92385436","31A235(+1)"
"http://www.wikidata.org/entity/Q735061","41A422"
"http://www.wikidata.org/entity/Q17323818","12F61"
"http://www.wikidata.org/entity/Q92393539","0"
"http://www.wikidata.org/entity/Q27999027","31D16(+4)"
"http://www.wikidata.org/entity/Q28002362","92L1913"
"http://www.wikidata.org/entity/Q25443498","73B13"
