artwork	subject
http://dbpedia.org/resource/Annunciation_(Botticelli,_Glasgow)	http://dbpedia.org/resource/Category:1490s_paintings
http://dbpedia.org/resource/Conduit_(mural)	http://dbpedia.org/resource/Category:2010s_murals
http://dbpedia.org/resource/Portrait_of_Alfonso_d'Avalos_with_a_Page	http://dbpedia.org/resource/Category:16th-century_portraits
http://dbpedia.org/resource/Saint_Theodora_(Tzanes)	http://dbpedia.org/resource/Category:Paintings_in_Greece
http://dbpedia.org/resource/550_+_1	http://dbpedia.org/resource/Category:2015_sculptures
http://dbpedia.org/resource/Bacchus_(Michelangelo)	http://dbpedia.org/resource/Category:1497_sculptures
http://dbpedia.org/resource/Source_(1/3)	http://dbpedia.org/resource/Category:Sculptures_by_Tony_Smith
http://dbpedia.org/resource/The_Raising_of_Lazarus_(Rembrandt)	http://dbpedia.org/resource/Category:Christian_art_about_death
http://dbpedia.org/resource/Statue_of_Jacobo_Gálvez	http://dbpedia.org/resource/Category:Statues_in_Mexico
http://dbpedia.org/resource/The_New_Settlers	http://dbpedia.org/resource/Category:1933_paintings
http://dbpedia.org/resource/The_Death_of_Adonis_(Mazzuoli)	http://dbpedia.org/resource/Category:Sculptures_of_the_Hermitage_Museum
http://dbpedia.org/resource/Statue_of_Georg_Zoëga	http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Copenhagen
http://dbpedia.org/resource/Crucifixion_(Perugino_and_Signorelli)	http://dbpedia.org/resource/Category:Paintings_depicting_John_the_Baptist
http://dbpedia.org/resource/Cinq-Mars'_Farewell_to_Marie_d'Entraigues	http://dbpedia.org/resource/Category:History_paintings
http://dbpedia.org/resource/Four_Eagles	http://dbpedia.org/resource/Category:Statues_in_New_York_City
http://dbpedia.org/resource/Annunciation_(van_Eyck,_Washington)	http://dbpedia.org/resource/Category:Books_in_art
http://dbpedia.org/resource/The_Immaculate_Conception_(El_Greco,_Toledo)	http://dbpedia.org/resource/Category:Mannerism
http://dbpedia.org/resource/Equestrian_statue_of_Charles_I,_Charing_Cross	http://dbpedia.org/resource/Category:Equestrian_statues_in_the_United_Kingdom
http://dbpedia.org/resource/Fountain_of_São_João_(Melgaço)	http://dbpedia.org/resource/Category:Fountains_in_Portugal
http://dbpedia.org/resource/Pallas_and_Arachne	http://dbpedia.org/resource/Category:Paintings_by_Peter_Paul_Rubens
http://dbpedia.org/resource/Deposition_(van_Dyck,_1634)	http://dbpedia.org/resource/Category:Paintings_of_the_Virgin_Mary
http://dbpedia.org/resource/Midvinterblot	http://dbpedia.org/resource/Category:Paintings_by_Carl_Larsson
http://dbpedia.org/resource/Nike_Crowns_the_Hero	http://dbpedia.org/resource/Category:Statues_in_Germany
http://dbpedia.org/resource/St_Euphemia_(Mantegna)	http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Museo_di_Capodimonte
http://dbpedia.org/resource/Statue_of_Christopher_Columbus_(St._Louis)	http://dbpedia.org/resource/Category:Buildings_and_structures_in_St._Louis
http://dbpedia.org/resource/Great_Wall_of_Los_Angeles	http://dbpedia.org/resource/Category:Mexican-American_culture_in_Los_Angeles
http://dbpedia.org/resource/A_Sergeant_of_the_Light_Horse	http://dbpedia.org/resource/Category:Portraits_by_Australian_artists
http://dbpedia.org/resource/Fountain_of_Mercury	http://dbpedia.org/resource/Category:Hermes
http://dbpedia.org/resource/The_Lion_and_Leopard_Hunt	http://dbpedia.org/resource/Category:Hunting_in_art
http://dbpedia.org/resource/The_Conspiracy_of_Claudius_Civilis	http://dbpedia.org/resource/Category:Cultural_depictions_of_Dutch_men
http://dbpedia.org/resource/Seattle_Cloud_Cover	http://dbpedia.org/resource/Category:Glass_works_of_art
http://dbpedia.org/resource/Chief_Kno-Tah	http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Oregon
http://dbpedia.org/resource/Prince_Balthasar_Charles_with_a_Dwarf	http://dbpedia.org/resource/Category:Portraits_by_Diego_Velázquez
http://dbpedia.org/resource/Three_Elements	http://dbpedia.org/resource/Category:Modern_paintings
http://dbpedia.org/resource/Crucifixion_(Vouet)	http://dbpedia.org/resource/Category:1636_paintings
http://dbpedia.org/resource/Emancipation_and_Freedom_Monument	http://dbpedia.org/resource/Category:Sculptures_of_women_in_Virginia
http://dbpedia.org/resource/Running_Horses	http://dbpedia.org/resource/Category:Animal_sculptures_in_Oregon
http://dbpedia.org/resource/The_Immaculate_Conception_(Tiepolo)	http://dbpedia.org/resource/Category:Paintings_of_the_Immaculate_Conception
