"art","art_label","subj","subj_label"
"https://w3id.org/zericatalog/artwork/47245","Artwork ""Pancalino Cristoforo , Madonna con Bambino in trono, San Giuliano l'Ospedaliere, Sant'Antonio Abate, Santa Caterina d'Alessandria, Sant'Apollonia, Dio Padre"" ","https://w3id.org/zericatalog/subject/santantonio-abate","sant'Antonio Abate (?)"
"https://w3id.org/zericatalog/artwork/46598","Artwork ""Mion Luigi , Figura femminile"" ","https://w3id.org/zericatalog/subject/figura-femminile","Figura femminile (?)"
"https://w3id.org/zericatalog/artwork/36077","Artwork ""Albertinelli Mariotto , San Giovanni Evangelista"" ","https://w3id.org/zericatalog/subject/san-giovanni-evangelista","San Giovanni Evangelista (?)"
"https://w3id.org/zericatalog/artwork/40447","Artwork ""Francucci Innocenzo , Ritratto femminile"" ","https://w3id.org/zericatalog/subject/ritratto-femminile","Ritratto femminile"
"https://w3id.org/zericatalog/artwork/41883","Artwork ""Cernotto Stefano , San Pietro"" ","https://w3id.org/zericatalog/subject/san-pietro","San Pietro"
"https://w3id.org/zericatalog/artwork/45955","Artwork ""Anonimo bresciano sec. XVI , Storia profana"" ","https://w3id.org/zericatalog/subject/storia-profana","Storia profana"
"https://w3id.org/zericatalog/artwork/36467","Artwork ""Anonimo , Artemisia"" ","https://w3id.org/zericatalog/subject/artemisia","Artemisia"
"https://w3id.org/zericatalog/artwork/44200","Artwork ""Anonimo veneziano sec. XVI , San Girolamo penitente nel deserto"" ","https://w3id.org/zericatalog/subject/san-girolamo-penitente-nel-deserto","San Girolamo penitente nel deserto"
"https://w3id.org/zericatalog/artwork/40485","Artwork ""Calvaert Denijs , Madonna con Bambino e san Benedetto"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino-e-san-benedetto","Madonna con Bambino e san Benedetto"
"https://w3id.org/zericatalog/artwork/32960","Artwork ""Barocci Federico , Angeli"" , (component)","https://w3id.org/zericatalog/subject/angeli","angeli"
"https://w3id.org/zericatalog/artwork/30480","Artwork ""Pippi Giulio , Bacco e Sileno, Motivi decorativi a grottesche"" , (component)","https://w3id.org/zericatalog/subject/bacco-e-sileno","Bacco e Sileno"
"https://w3id.org/zericatalog/artwork/33585","Artwork ""Luini Bernardino , Sant'Ambrogio"" , (component)","https://w3id.org/zericatalog/subject/santambrogio","sant'Ambrogio"
"https://w3id.org/zericatalog/artwork/36490","Artwork ""Fetti Domenico , Artemisia"" ","https://w3id.org/zericatalog/subject/artemisia","Artemisia"
"https://w3id.org/zericatalog/artwork/39366","Artwork ""Vasari Giorgio, Stradano Giovanni , Allegoria della Fortezza, Allegoria della Fortuna"" , (component)","https://w3id.org/zericatalog/subject/allegoria-della-fortuna","Allegoria della Fortuna"
"https://w3id.org/zericatalog/artwork/40634","Artwork ""Fontana Prospero , Elemosina di sant'Alessio"" ","https://w3id.org/zericatalog/subject/elemosina-di-santalessio","Elemosina di sant'Alessio"
"https://w3id.org/zericatalog/artwork/36652","Artwork ""Pellegrino da San Daniele , Geometria (?)"" ","https://w3id.org/zericatalog/subject/geometria","Geometria (?)"
"https://w3id.org/zericatalog/artwork/45733","Artwork ""Savoldo Giovanni Gerolamo , San Girolamo"" ","https://w3id.org/zericatalog/subject/san-girolamo","san Girolamo"
"https://w3id.org/zericatalog/artwork/46881","Artwork ""Luteri Giovanni , Sibilla"" ","https://w3id.org/zericatalog/subject/sibilla","Sibilla (?)"
"https://w3id.org/zericatalog/artwork/43245","Artwork ""Benvenuti Giovanni Battista , Sant'Orsola e le compagne"" ","https://w3id.org/zericatalog/subject/santorsola-e-le-compagne","sant'Orsola e le compagne"
"https://w3id.org/zericatalog/artwork/39375","Artwork ""Tamagni Vincenzo , Nascita di Maria Vergine"" , (component)","https://w3id.org/zericatalog/subject/nascita-di-maria-vergine","Nascita di Maria Vergine (?)"
"https://w3id.org/zericatalog/artwork/37042","Artwork ""Santi di Tito , Compianto sul Cristo morto"" ","https://w3id.org/zericatalog/subject/compianto-sul-cristo-morto","Compianto sul Cristo morto"
"https://w3id.org/zericatalog/artwork/38834","Artwork ""Bugiardini Giuliano , Madonna con Bambino e san Giovannino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino-e-san-giovannino","Madonna con Bambino e san Giovannino"
"https://w3id.org/zericatalog/artwork/40443","Artwork ""Calvaert Denijs , Santa Cecilia"" ","https://w3id.org/zericatalog/subject/santa-cecilia","Santa Cecilia"
"https://w3id.org/zericatalog/artwork/45193","Artwork ""Robusti Jacopo , Matrimonio mistico di santa Caterina d'Alessandria con san Giuseppe, san Marco e san Francesco d'Assisi e il doge Francesco Donato"" ","https://w3id.org/zericatalog/subject/san-marco-e-san-francesco-dassisi-e-il-doge-francesco-donato","san Marco e san Francesco d'Assisi e il doge Francesco Donato"
"https://w3id.org/zericatalog/artwork/44490","Artwork ""Caliari Paolo , Motivi decorativi a festoni con cherubini"" , (component)","https://w3id.org/zericatalog/subject/motivi-decorativi-a-festoni-con-cherubini","Motivi decorativi a festoni con cherubini"
"https://w3id.org/zericatalog/artwork/27034","Artwork ""Giovanni di Pietro , Santa Caterina d'Alessandria"" ","https://w3id.org/zericatalog/subject/santa-caterina-dalessandria","Santa Caterina d'Alessandria (?)"
"https://w3id.org/zericatalog/artwork/30702","Artwork ""Raffaellino del Colle , Dio Padre e angeli"" , (component)","https://w3id.org/zericatalog/subject/dio-padre-e-angeli","Dio Padre e angeli"
"https://w3id.org/zericatalog/artwork/33296","Artwork ""Longhi Luca , Madonna con Bambino, san Giovannino e san Nicola da Tolentino"" ","https://w3id.org/zericatalog/subject/san-giovannino-e-san-nicola-da-tolentino","san Giovannino e san Nicola da Tolentino"
"https://w3id.org/zericatalog/artwork/39077","Artwork ""Piccinelli Andrea , Madonna con Bambino e san Giovannino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino-e-san-giovannino","Madonna con Bambino e san Giovannino"
"https://w3id.org/zericatalog/artwork/34857","Artwork ""Rizzi Gian Pietro , Santa Caterina d'Alessandria"" ","https://w3id.org/zericatalog/subject/santa-caterina-dalessandria","santa Caterina d'Alessandria"
"https://w3id.org/zericatalog/artwork/39006","Artwork ""Vasari Giorgio , Incoronazione di papa Leone X"" , (component)","https://w3id.org/zericatalog/subject/incoronazione-di-papa-leone-x","Incoronazione di papa Leone X"
"https://w3id.org/zericatalog/artwork/39094","Artwork ""Anonimo fiorentino sec. XVI , Ritratto di Eleonora di Toledo"" ","https://w3id.org/zericatalog/subject/ritratto-di-eleonora-di-toledo","Ritratto di Eleonora di Toledo (?)"
"https://w3id.org/zericatalog/artwork/37758","Artwork ""Ligozzi Jacopo , Ritratto di Pastore di Sarratz, arcivescovo di Embrun"" , (component)","https://w3id.org/zericatalog/subject/arcivescovo-di-embrun","arcivescovo di Embrun"
"https://w3id.org/zericatalog/artwork/39961","Artwork ""Beccafumi Domenico , San Paolo in trono, Conversione di san Paolo, Decapitazione di san Paolo, Madonna con Bambino in gloria con angeli"" ","https://w3id.org/zericatalog/subject/decapitazione-di-san-paolo","Decapitazione di san Paolo"
"https://w3id.org/zericatalog/artwork/33377","Artwork ""Mazzola Bedoli Girolamo , Visitazione"" ","https://w3id.org/zericatalog/subject/visitazione","Visitazione"
"https://w3id.org/zericatalog/artwork/33691","Artwork ""Anonimo romano sec. XVI , Ritratto maschile"" ","https://w3id.org/zericatalog/subject/ritratto-maschile","Ritratto maschile"
"https://w3id.org/zericatalog/artwork/34404","Artwork ""Cesare da Sesto , Salome con la testa di san Giovanni Battista"" ","https://w3id.org/zericatalog/subject/salome-con-la-testa-di-san-giovanni-battista","Salome con la testa di san Giovanni Battista"
"https://w3id.org/zericatalog/artwork/33872","Artwork ""Farinati Paolo , Ritratto maschile"" ","https://w3id.org/zericatalog/subject/ritratto-maschile","Ritratto maschile"
"https://w3id.org/zericatalog/artwork/35716","Artwork ""Turchi Alessandro , Venere e Adone"" ","https://w3id.org/zericatalog/subject/venere-e-adone","Venere e Adone"
